arxiv,논문제목,venue,년도,method 요약,사용한 데이터,시도한 실험,결과,contribution,imbalance 연관성,URL,확인수준
https://www.mdpi.com/2079-9292/14/19/3792,Foundation Models for Cybersecurity: A Comprehensive Multi-Modal Evaluation of TabPFN and TabICL for Tabular Intrusion Detection,"Electronics (MDPI), 14(19):3792",2025,"표 형식 침입 탐지에서 파운데이션 모델(TabPFN, TabICL, LLM)을 트리 앙상블 등 전통 ML과 다중 데이터셋·다중 변형에 걸쳐 비교 평가한다. 모델별로 적합한 평가 프로토콜을 설계해 방법론적 편향을 줄인다.","CIC-IDS2017, N-BaIoT, CIC-UNSW 세 개의 사이버보안 데이터셋(Heartbleed·Infiltration 등 극소수 클래스 포함).",세 데이터셋에서 TabPFN·TabICL·LLM과 전통 ML을 비교하고 교차 데이터셋 검증까지 수행했다.,"TabPFN·TabICL이 전 데이터셋에서 SOTA를 세웠고(TabICL은 CIC-IDS2017 정확도 99.59%), 전통 앙상블은 전체 정확도 99% 이상에도 여러 소수 클래스에서 recall 0으로 실패한 반면 파운데이션 모델만이 Heartbleed·Infiltration 같은 희귀 위협을 포함한 전 클래스에서 0이 아닌 recall을 달성했다. 두 모델 모두 훈련 데이터 일부만 쓰고 하이퍼파라미터 튜닝이 불필요했다.",NIDS 도메인에서 TabPFN류가 소수 공격 클래스 검출에 구조적 이점을 가짐을 대규모로 실증했다.,본 연구와 동일한 CIC-IDS2017 불균형 세팅에서 TabPFN의 소수 클래스(tail attack) recall 우위를 보인 가장 근접한 선행 연구다.,https://www.mdpi.com/2079-9292/14/19/3792,초록 확인
https://research.tudelft.nl/en/publications/wfe-tab-overcoming-limitations-of-tabpfn-in-iiot-mec-environments,WFE-Tab: Overcoming limitations of TabPFN in IIoT-MEC environments with a weighted fusion ensemble-TabPFN model for improved IDS performance,"Future Generation Computer Systems, Vol. 166, art. 107707",2025,"TabPFN의 훈련 샘플 수 제한과 분류 가능 클래스 수 제한을 극복하기 위해, 가중 융합(weighted fusion) 방식으로 데이터를 여러 서브셋으로 나눠 TabPFN 앙상블 패밀리를 구성하는 WFE-Tab을 제안한다. 데이터 수집-전처리-학습-평가의 4단계 파이프라인으로 IIoT-MEC 환경의 IDS에 적용한다.",Edge-IIoTset 공개 IIoT 침입 탐지 데이터셋(다수의 공격 클래스 포함; 불균형비 수치는 초록에 미명시).,Edge-IIoTset에서 Accuracy/Precision/Recall/F1로 평가하고 베이스라인 및 최신 기법들과 비교했다.,WFE-Tab이 F1-Score 99.81%를 달성해 비교 기법들을 능가했다.,TabPFN의 샘플 수·클래스 수 제약을 앙상블 융합으로 우회해 대규모 다중 클래스 IDS에 TabPFN을 실용화했다.,다수의 희소 공격 클래스를 가진 IIoT IDS 데이터에서 TabPFN의 규모·클래스 수 제약(불균형 데이터 적용의 핵심 장애물)을 다룬다.,https://research.tudelft.nl/en/publications/wfe-tab-overcoming-limitations-of-tabpfn-in-iiot-mec-environments,초록 확인
https://ieeexplore.ieee.org/document/11142329/,An RF-TabPFN-Based Framework for Few-Shot IoT Network Attack Recognition Using Lasso-RFE Feature Selection,"IEEE Access, Vol. 13, pp. 151452-151465",2025,"(1) Lasso 회귀+RFE(재귀적 피처 제거)로 차원을 축소하고, (2) Random Forest와 TabPFN을 결합한 RF-TabPFN으로 few-shot 분류를 수행하며, (3) SHAP 분석으로 피처 기여도를 해석하는 3단계 프레임워크다. 소수 공격 클래스에서의 성능 저하와 해석성 부족을 동시에 겨냥한다.","Bot-IoT(UNSW 2018 IoT Botnet) 데이터셋 2,668,522 샘플(심한 클래스 불균형 명시).",Lasso-RFE 피처 선택 후 RF-TabPFN의 다중 공격 분류 성능을 평가하고 SHAP으로 해석성을 분석했다(RTX 3060 GPU 환경).,정확도 99.89%를 달성했고 대부분의 공격 범주에서 precision·recall 만점을 보고했다.,심한 불균형의 대규모 IoT 봇넷 데이터에서 TabPFN 하이브리드가 소수 공격 클래스까지 잡으면서 SHAP 해석성을 제공함을 보였다.,"'기존 ML은 불균형 데이터의 소수 공격 클래스에서 성능이 나쁘다'는 문제 설정이 본 프로젝트와 동일하며, TabPFN을 그 해법으로 명시적으로 채택한 사례다.",https://ieeexplore.ieee.org/document/11142329/,검색결과만(재확인 권장)
https://link.springer.com/article/10.1007/s11227-024-06166-x,A TabPFN-based intrusion detection system for the industrial internet of things,"The Journal of Supercomputing, Vol. 80(14), pp. 20080-20117",2024,"IIoT 환경용 IDS로 TabPFN을 적용한 초기 논문 중 하나다. 소량 샘플(250~1000개)만으로 학습 가능한 PFN의 특성을 활용해, 트래픽이 적게 발생하는 산업 환경에서 RF·XGBoost·LightGBM 대비 성능을 검증한다.","Edge-IIoTset(61개 피처, 5개 범주 14개 공격 유형)을 주 벤치마크로, 자체 제작 MECInOT(Modbus/TCP·OPC UA·S7COMM 프로토콜)으로 배포를 검증했다.",훈련 샘플 수(250/500/750/1000)와 클래스 수(2/6/10)를 바꿔가며 TabPFN과 RF·XGBoost·LightGBM을 비교하고 학습·추론 시간도 측정했다.,"1000샘플 기준 6-클래스에서 정확도 97%·F1 81%, 10-클래스에서 F1 72%로 비교 모델 대비 우위였고, 10-클래스 시나리오에서 TabPFN이 4.01초로 가장 빨랐다(이진 분류는 모든 모델 만점).",레이블된 트래픽이 극히 적은 산업 환경에서 TabPFN 기반 IDS가 부스팅 계열보다 few-shot 성능이 좋음을 보인 선구적 적용 사례다.,"클래스당 샘플이 수백 개 수준인 저데이터 조건은 tail 클래스 학습 문제와 본질적으로 같은 상황이며, 이 영역에서 TabPFN이 XGBoost를 이긴다는 근거를 제공한다.",https://link.springer.com/article/10.1007/s11227-024-06166-x,초록 확인
2604.11394,Optimizing IoT Intrusion Detection with Tabular Foundation Models for Smart City Forensics,arXiv preprint,2026,IoT 침입 탐지에서 TabPFNv2.5(트랜스포머 기반 표 형식 파운데이션 모델)를 랜덤 포레스트 등 전통 앙상블과 체계적으로 비교한 첫 평가다. TabPFNv2.5가 빠른 위협 선별을 맡고 앙상블이 세부 분류를 맡는 하이브리드 파이프라인을 제안한다.,TON_IoT 데이터셋(공격 유형별 탐지 난이도 편차 존재; 불균형비 수치는 초록에 미명시).,"이진/다중 분류 정확도, 추론 속도, 교차 디바이스 일반화를 평가했다.","TabPFNv2.5는 이진 분류 정확도 97%를 유지하면서 랜덤 포레스트보다 40배 빠른 추론을 달성했고, scanning 공격이 가장 탐지하기 어려웠으며(F1 69.8%) 교차 디바이스 일반화는 특징 유사도에 크게 의존했다.",최신 TabPFNv2.5를 IoT IDS에 처음 체계적으로 평가하고 속도-정확도 트레이드오프를 활용한 하이브리드 IDS 구조를 제안했다.,"IDS에서 TabPFN 계열의 클래스별 성능 편차(어려운 공격 클래스의 낮은 F1)를 보고해, 불균형 NIDS 적용 시 취약 지점을 시사한다.",https://arxiv.org/abs/2604.11394,초록 확인
2601.07305,Memory-Based Malware Detection under Limited Data Conditions: A Comparative Evaluation of TabPFN and Ensemble Models,arXiv preprint,2026,"메모리 포렌식 기반 멀웨어 탐지에서, 학습이 필요 없는(learning-free) 저데이터 특화 모델인 TabPFN을 RF·LightGBM·XGBoost와 비교 평가한다. 여러 클래스 구성(class configuration)에 걸쳐 저데이터 영역 성능을 측정한다.",메모리 기반 멀웨어 탐지 데이터(실환경 대규모 데이터셋 부재라는 데이터 희소성을 전제로 한 저데이터 설정).,훈련 데이터 규모를 제한한 low-data regime에서 TabPFN과 3개 앙상블 모델을 다중 지표로 비교하고 계산 시간을 분석했다.,"저데이터 조건에서 TabPFN이 모든 비교 모델을 능가하며 여러 지표에서 2~6% 개선했고, 대신 일부 경우 계산 시간이 증가하는 트레이드오프를 보고했다.",사이버보안의 데이터 희소 상황에서 TabPFN의 우위와 실무 통합 시의 계산 비용 한계를 함께 정리했다.,"레이블 부족·저데이터 조건은 tail 클래스 상황의 프록시이며, 이 영역에서 TabPFN이 XGBoost 계열을 2~6% 이긴다는 정량 근거를 추가한다.",https://arxiv.org/abs/2601.07305,초록 확인
2604.20255,uLEAD-TabPFN: Uncertainty-aware Dependency-based Anomaly Detection with TabPFN,arXiv preprint,2026,"이상치를 '학습된 잠재공간에서의 조건부 의존성 위반'으로 정의하고, 동결된(frozen) PFN을 의존성 추정기로 사용하는 비지도 이상탐지 프레임워크를 제안한다. 불확실성 인지(uncertainty-aware) 스코어링을 결합해 고차원 표 형식 데이터로 확장한다.","ADBench 벤치마크의 57개 표 형식 데이터셋(사기·침입 계열 포함, 이상치 비율이 극히 낮은 태생적 불균형 데이터).",57개 데이터셋에서 근접도 기반 등 기존 이상탐지 베이스라인들과 ROC-AUC를 비교하고 차원 수별(저/중/고차원) 순위를 분석했다.,"고차원 데이터셋에서 평균 베이스라인 대비 ROC-AUC 약 20%, 최고 베이스라인 대비 약 2.8%를 개선했고, 중·고차원 설정에서 평균 순위 1위를 기록했다.",TabPFN을 분류기가 아닌 의존성 추정기로 재활용해 비지도 이상탐지에 쓰는 새로운 활용 방식을 제시했다.,"이상탐지는 극단적 불균형(이상치 소수)의 극한 형태이며, PFN 기반 스코어가 OOD/이상 스코어로 쓰일 수 있음을 보여 energy 스코어 대안 탐색과 연결된다.",https://arxiv.org/abs/2604.20255,초록 확인
2509.11449,Tabular Data with Class Imbalance: Predicting Electric Vehicle Crash Severity with Pretrained Transformers (TabPFN) and Mamba-Based Models,ICMLA 2025 (accepted; arXiv preprint),2025,"텍사스 전기차 충돌 데이터에서 부상 심각도를 예측하는 딥 표 형식 학습 프레임워크를 제안한다. XGBoost/랜덤 포레스트로 특징 중요도를 추출하고, 클래스 불균형은 SMOTEENN(SMOTE + Edited Nearest Neighbors) 재표집으로 대응한 뒤 TabPFN, MambaNet, MambaAttention 세 모델을 벤치마크한다.","텍사스 실제 충돌 데이터(2017-2023)에서 전기차만 필터링한 23,301건(심각 부상 클래스가 희소한 불균형 데이터, SMOTEENN 적용).",SMOTEENN 재표집 후 TabPFN·MambaNet·MambaAttention의 심각도 분류 성능을 비교했다.,"TabPFN은 강한 일반화 성능을 보였으나, 심각 부상(소수 클래스) 분류에서는 attention 기반 특징 재가중을 쓰는 MambaAttention이 더 우수했다.",불균형 실세계 표 데이터에서 TabPFN과 최신 Mamba 계열 모델을 직접 비교해 소수 클래스 분류의 상대적 강약을 보였다.,재표집(SMOTEENN)과 결합한 TabPFN이 소수 클래스에서 경쟁 모델에 질 수 있음을 보인 응용 사례다.,https://arxiv.org/abs/2509.11449,초록 확인
https://www.medrxiv.org/content/10.64898/2026.02.02.26345274v1.full,Established Machine Learning Matches Tabular Foundation Models in Clinical Predictions,medRxiv preprint,2026,"TabPFN(하이퍼파라미터 최적화 유무 두 버전)과 로지스틱 회귀, CatBoost, LightGBM, RandomForest 등 12개 확립된 ML 기법을 12개 이진 임상 예측 태스크에서 비교하는 재현 가능한 대규모 벤치마크다. 클래스 리밸런싱을 적용하지 않고 실제 라벨 불균형을 그대로 유지한다.","FOSP 대장암 레지스트리(1/3/5년 생존 등 5개 타깃), Arasteh et al. 데이터셋(심장 아밀로이드증, 식도암, 유전성 난청, 전이), SEER 암 레지스트리(코호트 788~139,528명, 양성 유병률 2.5%~72.0%).",12개 태스크에서 AUROC로 TabPFN과 12개 베이스라인을 비교하고 실행 시간·자원 비용과 특징 중요도 프로파일을 분석했다.,"TabPFN이 최고 ML 모델을 능가한 태스크는 12개 중 2개(16.7%)뿐이고 대부분의 AUROC 차이는 ±0.01 이내였으며, 중앙값 실행 시간은 5.5배 길고 사실상 GPU가 필요했다.",희귀 결과를 포함한 실제 임상 태스크에서 TabPFN이 부스팅/배깅 대비 일관된 우위가 없음을 보인 부정적(negative) 벤치마크다.,유병률 2.5%의 희귀 결과를 포함한 리밸런싱 없는 실제 불균형 조건에서 TabPFN 성능의 냉정한 기준점을 제공한다.,https://www.medrxiv.org/content/10.64898/2026.02.02.26345274v1.full,초록 확인
2406.05207,Retrieval & Fine-Tuning for In-Context Tabular Models,NeurIPS 2024,2024,"TabPFN 위에 kNN 검색으로 각 쿼리 주변의 로컬 서브셋을 컨텍스트로 구성하고, 검색과 결합한 채로 태스크별 end-to-end fine-tuning을 수행하는 LoCalPFN을 제안한다. 검색과 미세조정을 분리하지 않고 함께 학습하는 것이 핵심이며, TabPFN의 데이터 규모·복잡도 한계를 로컬 적응으로 극복한다.",TabZilla(OpenML) 95개 데이터셋(데이터셋 표에 불균형비 1.0~4558.6(shuttle) 명시).,"튜닝된 트리 모델(XGBoost, CatBoost)과 기본 TabPFN 대비 AUC 중심으로 평가하고, 보조 지표로 accuracy와 F1도 전체 데이터셋에 대해 보고했다.","평균 AUC 0.908[95% CI 0.905–0.911]로 XGBoost 0.892, CatBoost 0.891, TabPFN 0.867을 넘어 당시 SOTA를 달성했다.",검색 기반 로컬 컨텍스트 + fine-tuning이라는 TabPFN 확장의 표준 패턴을 확립했다.,"불균형 전용 분석은 없으나 최대 4558:1 불균형(shuttle) 데이터셋을 포함해 평가하고 F1을 보조 지표로 보고하며, 쿼리별 로컬 컨텍스트 구성은 불균형 하 컨텍스트 검색 연구의 토대가 된다.",https://arxiv.org/abs/2406.05207,초록 확인
